mature_mirna_id,target_symbol
hsa-miR-326,GLI1
hsa-miR-125b-5p,GLI1
hsa-miR-324-5p,GLI1
hsa-miR-133b,GLI1
hsa-miR-29a-3p,RASGRP1
hsa-let-7a-5p,ARG2
hsa-miR-29b-3p,MMP2
hsa-miR-17-5p,MMP2
hsa-miR-29c-3p,MMP2
hsa-miR-491-5p,MMP2
hsa-miR-29a-3p,MMP2
hsa-miR-708-5p,MMP2
hsa-miR-106b-5p,MMP2
hsa-miR-221-3p,MMP2
hsa-miR-130b-3p,MMP2
hsa-miR-125b-5p,MMP2
hsa-miR-520g-3p,MMP2
hsa-miR-524-5p,MMP2
hsa-miR-218-5p,MMP2
hsa-miR-519d-3p,MMP2
hsa-miR-10a-5p,CHL1
hsa-miR-182-5p,CHL1
hsa-miR-183-5p,DKK3
hsa-miR-92b-3p,DKK3
hsa-miR-582-3p,DKK3
hsa-miR-125b-5p,DKK3
hsa-miR-532-5p,RUNX3
hsa-miR-130b-3p,RUNX3
hsa-miR-130a-3p,RUNX3
hsa-miR-301a-3p,RUNX3
hsa-miR-148a-3p,RUNX3
hsa-miR-106a-5p,RUNX3
hsa-miR-106b-5p,RUNX3
hsa-miR-20a-5p,RUNX3
hsa-miR-495-3p,RUNX3
hsa-miR-4295,RUNX3
hsa-miR-125b-5p,FES
hsa-miR-519d-3p,MKI67
hsa-let-7f-5p,POSTN
hsa-miR-495-3p,PTP4A3
hsa-miR-146a-5p,FAS
hsa-miR-106a-5p,FAS
hsa-miR-196b-5p,FAS
hsa-miR-23a-3p,FAS
hsa-miR-133b,FAS
hsa-miR-320a,FAS
hsa-miR-217,NR4A2
hsa-miR-19a-3p,NR4A2
hsa-miR-302d-3p,NR4A2
hsa-miR-372-3p,NR4A2
hsa-miR-129-5p,NR4A2
hsa-miR-206,NR4A2
hsa-miR-34a-5p,NR4A2
hsa-miR-29b-3p,SERPINH1
hsa-miR-29a-3p,SERPINH1
hsa-miR-29c-3p,SERPINH1
hsa-miR-296-5p,NGFR
hsa-miR-133a-3p,NGFR
hsa-miR-140-3p,MARCKSL1
hsa-miR-27a-3p,SIGLEC1
hsa-miR-125b-5p,Fas
hsa-miR-124-3p,VIM
hsa-miR-30c-5p,VIM
hsa-miR-138-5p,VIM
hsa-miR-30a-5p,VIM
hsa-miR-506-3p,VIM
hsa-miR-204-5p,VIM
hsa-miR-320a,VIM
hsa-miR-129-5p,VIM
hsa-miR-134-5p,VIM
hsa-miR-1-3p,HAND2
hsa-miR-25-3p,HAND2
hsa-miR-23b-3p,VCAN
hsa-miR-181a-5p,COL16A1
hsa-miR-758-3p,TLR7
hsa-miR-17-5p,TLR7
hsa-miR-19a-3p,TLR7
hsa-miR-29b-3p,COL1A1
hsa-miR-29c-3p,COL1A1
hsa-miR-133a-3p,COL1A1
hsa-miR-185-5p,COL1A1
hsa-miR-129-5p,COL1A1
hsa-miR-29c-3p,FGA
hsa-miR-29a-3p,FGA
hsa-miR-29b-3p,FGA
hsa-miR-200c-3p,FN1
hsa-miR-200b-3p,FN1
hsa-miR-1-3p,FN1
hsa-let-7g-5p,FN1
hsa-miR-140-3p,FN1
hsa-miR-532-5p,CXCL2
hsa-miR-22-3p,LGALS9
hsa-miR-181a-5p,RGS16
hsa-miR-92a-3p,IKZF1
hsa-miR-9-5p,RAB34
hsa-miR-34a-5p,CSF1R
hsa-miR-22-3p,CSF1R
hsa-miR-29b-3p,COL4A2
hsa-miR-29c-3p,COL4A2
hsa-miR-29a-3p,COL4A2
hsa-miR-146a-5p,BRCA2
hsa-miR-17-5p,BRCA2
hsa-miR-200c-3p,CDH11
hsa-miR-27b-3p,CDH11
hsa-miR-125b-5p,BMPR1B
hsa-miR-22-3p,BMPR1B
hsa-miR-22-3p,LGALS1
hsa-miR-200c-3p,NTRK2
hsa-miR-204-5p,NTRK2
hsa-miR-22-3p,NTRK2
hsa-miR-34a-5p,PDGFRB
hsa-miR-34c-5p,PDGFRB
hsa-miR-30b-5p,PDGFRB
hsa-miR-29a-3p,PDGFRB
hsa-miR-29b-3p,PDGFRB
hsa-miR-29c-3p,PDGFRB
hsa-miR-9-5p,PDGFRB
hsa-miR-24-3p,PDGFRB
hsa-miR-1-3p,IGF1
hsa-miR-27a-3p,IGF1
hsa-miR-483-3p,IGF1
hsa-let-7e-5p,IGF1
hsa-let-7i-5p,IGF1
hsa-miR-199a-3p,IGF1
hsa-miR-29a-3p,IGF1
hsa-miR-133a-3p,IGF1
hsa-miR-18b-5p,IGF1
hsa-miR-28-5p,IGF1
hsa-miR-130b-3p,IGF1
hsa-miR-98-5p,IGF1
hsa-miR-26b-5p,IGF1
hsa-miR-129-5p,IGF1
hsa-miR-128-3p,IGF1
hsa-miR-26a-5p,IGF1
hsa-miR-34a-5p,CYBB
hsa-miR-106b-5p,CYBB
hsa-miR-148b-3p,CYBB
hsa-miR-204-5p,CYBB
hsa-miR-195-5p,ELN
hsa-miR-181b-5p,ELN
hsa-miR-29a-3p,ELN
hsa-miR-138-5p,TWIST2
hsa-miR-423-5p,TFF1
hsa-miR-218-5p,TFF1
hsa-miR-433-3p,GBP2
hsa-miR-130a-3p,IL18
hsa-miR-132-3p,MUC13
hsa-miR-34a-5p,TREM2
hsa-miR-224-5p,SERPINF2
hsa-miR-98-5p,CCL5
hsa-miR-214-3p,CCL5
hsa-miR-146a-5p,CCL5
hsa-miR-196a-5p,LSP1
hsa-miR-182-5p,RARG
hsa-miR-34c-5p,RARG
hsa-miR-17-5p,RUNX1
hsa-miR-20a-5p,RUNX1
hsa-miR-106a-5p,RUNX1
hsa-miR-221-3p,RUNX1
hsa-miR-27b-3p,RUNX1
hsa-miR-18a-5p,RUNX1
hsa-miR-9-5p,RUNX1
hsa-miR-101-3p,RUNX1
hsa-miR-144-5p,RUNX1
hsa-miR-181a-5p,RUNX1
hsa-miR-19b-3p,SOCS1
hsa-miR-19a-3p,SOCS1
hsa-miR-30b-5p,SOCS1
hsa-let-7i-5p,SOCS1
hsa-miR-122-5p,SOCS1
hsa-miR-30d-5p,SOCS1
hsa-miR-221-3p,SOCS1
hsa-miR-142-5p,SOCS1
hsa-let-7a-5p,CCR7
hsa-miR-199a-5p,CCR7
hsa-miR-133a-3p,MMP14
hsa-miR-24-3p,MMP14
hsa-miR-22-3p,MMP14
hsa-miR-10a-5p,MMP14
hsa-miR-193a-3p,MMP14
hsa-miR-150-5p,MMP14
hsa-miR-133b,MMP14
hsa-miR-486-5p,CIT
hsa-miR-490-3p,ABCC2
hsa-miR-23a-3p,HOXB4
hsa-miR-214-3p,ALPK2
hsa-miR-195-5p,CCL4
hsa-miR-218-5p,LAMB3
hsa-miR-29c-3p,COL15A1
hsa-miR-199a-5p,EDN1
hsa-miR-1-3p,EDN1
hsa-miR-98-5p,EDN1
hsa-miR-125a-5p,EDN1
hsa-miR-196a-5p,HMOX1
hsa-miR-122-5p,HMOX1
hsa-miR-24-3p,HMOX1
hsa-miR-218-5p,HMOX1
hsa-miR-449a,MFAP4
hsa-miR-490-3p,PAPPA
hsa-miR-214-3p,PAPPA
hsa-miR-141-3p,PAPPA
hsa-miR-146a-5p,SLPI
hsa-miR-29a-3p,GPR85
hsa-let-7i-5p,ASCL1
hsa-miR-29c-3p,COL3A1
hsa-miR-29b-3p,COL3A1
hsa-miR-29a-3p,COL3A1
hsa-let-7b-5p,COL3A1
hsa-let-7d-5p,COL3A1
hsa-miR-17-5p,IGFBP3
hsa-miR-125b-5p,SMO
hsa-miR-326,SMO
hsa-miR-324-5p,SMO
hsa-miR-338-3p,SMO
hsa-miR-218-5p,SMO
hsa-miR-24-3p,AURKB
hsa-let-7a-5p,AURKB
hsa-let-7e-5p,AURKB
hsa-let-7i-5p,AURKB
hsa-miR-24-3p,FGFR3
hsa-miR-152-3p,FGFR3
hsa-miR-425-5p,FGFR3
hsa-miR-20b-5p,EPHB4
hsa-miR-29a-3p,FGG
hsa-miR-29b-3p,FGG
hsa-miR-144-3p,FGG
hsa-miR-29a-3p,SFRP2
hsa-miR-218-5p,SFRP2
hsa-miR-299-5p,SPP1
hsa-miR-181b-5p,SPP1
hsa-miR-4262,SPP1
hsa-miR-221-3p,CORO1A
hsa-miR-222-3p,CORO1A
hsa-miR-24-3p,CORO1A
hsa-miR-124-3p,CCN2
hsa-miR-18a-5p,CCN2
hsa-miR-205-5p,CCN2
hsa-miR-18b-5p,CCN2
hsa-miR-133b,CCN2
hsa-miR-26b-5p,CCN2
hsa-miR-133a-3p,CCN2
hsa-miR-483-3p,CCN2
hsa-miR-30c-5p,CCN2
hsa-miR-146a-5p,CFH
hsa-miR-124-3p,GRIA1
hsa-miR-320a,AQP1
